[2026-06-03 11:11:10 ET] === Backfill start (from 2026-04-01 to 2026-05-01, live=False) ===
[2026-06-03 11:11:10 ET]   fetching search page: ...iled_after=2026-04-01&order_by=dateFiled+asc&filed_before=2026-05-01&format=json
[2026-06-03 11:15:42 ET]   + HIT: DILLING PA, LLC d/b/a DILLING HEATING AND COOLING | 26-11548 | paeb | zip=19020 (Pa suburbs)
[2026-06-03 11:15:45 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:16:02 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:16:18 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:16:33 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:17:03 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:17:18 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:17:32 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:17:50 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:18:08 ET]   + HIT: QVC Group, Inc. | 26-90447 | txsb | zip=19380 (Pa suburbs)
[2026-06-03 11:18:11 ET]   + HIT: PELCO BUILDERS, INC. | 26-11608 | paeb | zip=19320 (Pa suburbs)
[2026-06-03 11:18:17 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:18:37 ET]   + HIT: RMG Erectors & Constructors of Montana, LLC | 26-14283 | njb | zip=08080 (South Jersey)
[2026-06-03 11:18:38 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:18:57 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:19:14 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:19:32 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:19:49 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:20:06 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:20:38 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:20:55 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:21:19 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:21:37 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:21:52 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:22:30 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:22:45 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:23:01 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:23:17 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:23:36 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:23:46 ET]   checked 752 dockets, fetched 752 party records, 7 new local hits
[2026-06-03 11:23:46 ET] === Backfill done. 7 local hits. ===

[2026-06-03 11:52:42 ET] === Backfill start (from 2026-05-01 to 2026-06-01, live=False) ===
[2026-06-03 11:52:42 ET]   fetching search page: ...iled_after=2026-05-01&order_by=dateFiled+asc&filed_before=2026-06-01&format=json
[2026-06-03 11:52:59 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:53:17 ET]   + HIT: ONE DOORKNOB AT A TIME, LLC | 26-11969 | paeb | zip=19073 (Pa suburbs)
[2026-06-03 11:53:17 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:53:55 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:54:31 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:54:53 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:55:23 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:55:39 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:55:56 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:56:18 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:56:35 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:56:51 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:57:07 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:57:22 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:57:39 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:57:54 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:58:09 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:58:30 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:58:48 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:59:06 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:59:23 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:59:39 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:59:59 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 12:00:22 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 12:00:40 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 12:00:56 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 12:01:14 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 12:01:34 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 12:01:52 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 12:02:08 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 12:02:23 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 12:03:10 ET]   + HIT: Trinseo PLC | 26-90545 | txsb | zip=19088 (Pa suburbs)
[2026-06-03 12:03:13 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 12:03:29 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 12:03:46 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 12:04:14 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 12:06:00 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 12:06:46 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 12:08:07 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 12:09:26 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 12:09:53 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 12:10:21 ET]   fetching search page: ...filed_before=2026-06-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 12:10:38 ET]   checked 817 dockets, fetched 817 party records, 2 new local hits
[2026-06-03 12:10:38 ET] === Backfill done. 2 local hits. ===

[2026-06-03 14:23:26 ET] === Poll start (since 2026-06-02, live=True) ===
[2026-06-03 14:23:26 ET]   fetching search page: ...?q=chapter%3A11&type=d&filed_after=2026-06-02&order_by=dateFiled+asc&format=json
[2026-06-03 14:23:53 ET]   fetching search page: ...&filed_after=2026-06-02&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 14:24:11 ET]   fetching search page: ...&filed_after=2026-06-02&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 14:24:27 ET]   fetching search page: ...&filed_after=2026-06-02&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 14:24:42 ET]   checked 80 dockets, fetched 80 party records, 0 new local hits
[2026-06-03 14:24:42 ET] === Poll done. 0 new local hits. ===

[2026-06-03 18:29:25 ET] === Poll start (since 2026-06-03, live=True) ===
[2026-06-03 18:29:25 ET]   fetching search page: ...?q=chapter%3A11&type=d&filed_after=2026-06-03&order_by=dateFiled+asc&format=json
[2026-06-03 18:30:17 ET]   fetching search page: ...&filed_after=2026-06-03&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 18:30:42 ET]   fetching search page: ...&filed_after=2026-06-03&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 18:30:49 ET]   checked 49 dockets, fetched 49 party records, 0 new local hits
[2026-06-03 18:30:49 ET] === Poll done. 0 new local hits. ===

[2026-06-03 18:30:49 ET] === Fetching docket entries for 9 case(s) ===
[2026-06-03 18:30:49 ET]   fetching entries page 1: ...t-entries/?docket=73154006&order_by=entry_number&format=json&entry_number__gt=61
[2026-06-03 18:30:51 ET]   Erie Kash Out Properties, LLC: 0 entries fetched, 0 classified, 12 total classified
[2026-06-03 18:30:51 ET]   fetching entries page 1: ...t-entries/?docket=73165305&order_by=entry_number&format=json&entry_number__gt=17
[2026-06-03 18:30:53 ET]   EEW AOS Paulsboro Urban Renewal, LLC: 0 entries fetched, 0 classified, 2 total classified
[2026-06-03 18:30:53 ET]   fetching entries page 1: ...-entries/?docket=73165199&order_by=entry_number&format=json&entry_number__gt=128
[2026-06-03 18:30:56 ET]   EEW American Offshore Structures Inc., et al: 1 entries fetched, 0 classified, 59 total classified
[2026-06-03 18:30:56 ET]   fetching entries page 1: ...t-entries/?docket=73184787&order_by=entry_number&format=json&entry_number__gt=32
[2026-06-03 18:30:57 ET]   DILLING PA, LLC d/b/a DILLING HEATING AND COOLING: 0 entries fetched, 0 classified, 9 total classified
[2026-06-03 18:30:57 ET]   fetching entries page 1: ...-entries/?docket=73205273&order_by=entry_number&format=json&entry_number__gt=397
[2026-06-03 18:31:06 ET]   QVC Group, Inc.: 3 entries fetched, 0 classified, 116 total classified
[2026-06-03 18:31:06 ET]   fetching entries page 1: ...t-entries/?docket=73204528&order_by=entry_number&format=json&entry_number__gt=84
[2026-06-03 18:31:08 ET]   PELCO BUILDERS, INC.: 0 entries fetched, 0 classified, 12 total classified
[2026-06-03 18:31:08 ET]   fetching entries page 1: ...t-entries/?docket=73209855&order_by=entry_number&format=json&entry_number__gt=62
[2026-06-03 18:31:10 ET]   RMG Erectors & Constructors of Montana, LLC: 0 entries fetched, 0 classified, 30 total classified
[2026-06-03 18:31:10 ET]   fetching entries page 1: ...t-entries/?docket=73294617&order_by=entry_number&format=json&entry_number__gt=13
[2026-06-03 18:31:11 ET]   ONE DOORKNOB AT A TIME, LLC: 0 entries fetched, 0 classified, 7 total classified
[2026-06-03 18:31:11 ET]   fetching entries page 1: ...-entries/?docket=73388469&order_by=entry_number&format=json&entry_number__gt=190
[2026-06-03 18:31:15 ET]   Trinseo PLC: 0 entries fetched, 0 classified, 64 total classified
[2026-06-03 18:31:15 ET] === Done fetching docket entries ===

